actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/action_smoothness/max,test/rwd_metrics/action_smoothness/mean,test/rwd_metrics/action_smoothness/min,test/rwd_metrics/action_smoothness/size,test/rwd_metrics/action_smoothness/std,test/rwd_metrics/active_muscle_count/max,test/rwd_metrics/active_muscle_count/mean,test/rwd_metrics/active_muscle_count/min,test/rwd_metrics/active_muscle_count/size,test/rwd_metrics/active_muscle_count/std,test/rwd_metrics/ankle_imitation_l/max,test/rwd_metrics/ankle_imitation_l/mean,test/rwd_metrics/ankle_imitation_l/min,test/rwd_metrics/ankle_imitation_l/size,test/rwd_metrics/ankle_imitation_l/std,test/rwd_metrics/ankle_imitation_r/max,test/rwd_metrics/ankle_imitation_r/mean,test/rwd_metrics/ankle_imitation_r/min,test/rwd_metrics/ankle_imitation_r/size,test/rwd_metrics/ankle_imitation_r/std,test/rwd_metrics/cyclic_hip/max,test/rwd_metrics/cyclic_hip/mean,test/rwd_metrics/cyclic_hip/min,test/rwd_metrics/cyclic_hip/size,test/rwd_metrics/cyclic_hip/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/done_flag/max,test/rwd_metrics/done_flag/mean,test/rwd_metrics/done_flag/min,test/rwd_metrics/done_flag/size,test/rwd_metrics/done_flag/std,test/rwd_metrics/effort_cubed/max,test/rwd_metrics/effort_cubed/mean,test/rwd_metrics/effort_cubed/min,test/rwd_metrics/effort_cubed/size,test/rwd_metrics/effort_cubed/std,test/rwd_metrics/grf_pain/max,test/rwd_metrics/grf_pain/mean,test/rwd_metrics/grf_pain/min,test/rwd_metrics/grf_pain/size,test/rwd_metrics/grf_pain/std,test/rwd_metrics/hip_imitation_l/max,test/rwd_metrics/hip_imitation_l/mean,test/rwd_metrics/hip_imitation_l/min,test/rwd_metrics/hip_imitation_l/size,test/rwd_metrics/hip_imitation_l/std,test/rwd_metrics/hip_imitation_r/max,test/rwd_metrics/hip_imitation_r/mean,test/rwd_metrics/hip_imitation_r/min,test/rwd_metrics/hip_imitation_r/size,test/rwd_metrics/hip_imitation_r/std,test/rwd_metrics/joint_angle_rew/max,test/rwd_metrics/joint_angle_rew/mean,test/rwd_metrics/joint_angle_rew/min,test/rwd_metrics/joint_angle_rew/size,test/rwd_metrics/joint_angle_rew/std,test/rwd_metrics/joint_limit_pain/max,test/rwd_metrics/joint_limit_pain/mean,test/rwd_metrics/joint_limit_pain/min,test/rwd_metrics/joint_limit_pain/size,test/rwd_metrics/joint_limit_pain/std,test/rwd_metrics/knee_imitation_l/max,test/rwd_metrics/knee_imitation_l/mean,test/rwd_metrics/knee_imitation_l/min,test/rwd_metrics/knee_imitation_l/size,test/rwd_metrics/knee_imitation_l/std,test/rwd_metrics/knee_imitation_r/max,test/rwd_metrics/knee_imitation_r/mean,test/rwd_metrics/knee_imitation_r/min,test/rwd_metrics/knee_imitation_r/size,test/rwd_metrics/knee_imitation_r/std,test/rwd_metrics/pelvis_imitation/max,test/rwd_metrics/pelvis_imitation/mean,test/rwd_metrics/pelvis_imitation/min,test/rwd_metrics/pelvis_imitation/size,test/rwd_metrics/pelvis_imitation/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/vel_reward/max,test/rwd_metrics/vel_reward/mean,test/rwd_metrics/vel_reward/min,test/rwd_metrics/vel_reward/size,test/rwd_metrics/vel_reward/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
,,,,,,,,,,,,,0.07802043,-0.00018894147,-0.12546228,244,0.03294228,0.0058898800444004,0.0057869385121114,0.0057238883310506,10,4.9341984925616814e-05,25,24.4,24,10,0.4898979485566356,267.43573665618896,257.3476226806641,245.66839122772217,10,7.431126145095364,0.0,0.0,0.0,10,0.0,-4.305687204831086e-06,-6.258605505033224e-06,-1.2216376089204976e-05,10,2.244570117457467e-06,0.0,0.0,0.0,10,0.0,11.80876199145029,9.499883031699207,5.062802576364601,10,2.599265530337967,11.540312636616784,6.742186212323356,3.658545599781664,10,2.928441798565323,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.0114505469765827,-0.0118163172901788,-0.0123970436195426,10,0.000298884420727,0.0,-0.0095825994246527,-0.0335594373139731,10,0.0128593658932913,41.30448825692103,15.48412759117205,6.536259415539191,10,12.9751147644281,35.14417660592484,19.533114944687707,5.846748807103479,10,10.613571517596489,0.0,0.0,0.0,10,0.0,-0.3228305522265912,-0.4373133267841887,-0.5419913925311439,10,0.0602765780654924,11.129088389647336,7.934421526243733,1.498202279983054,10,4.093981547823634,10.25241109949658,5.2771984851210885,1.97782894089909,10,3.3219360740949178,73.51964221850069,71.32359373881668,69.400586064963,10,1.4733718058595804,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,125.0,122.0,120.0,10,2.449489742783178,0.0416666666666666,0.0409999999999999,0.04,10,0.0008164965809277,1.0,-0.03141269,-1.0,1000,0.991054,111,28.20477279222635,12,6998,9.37517503381418,876.9977560043335,250.3713812538644,108.8124647140503,6998,79.95661411380208,6998.0,115.28193402290344,200000.0,1.0,115.28193402290344,200000.0,1734.8772094703525,1000.0
0.211767,0.01407899,14.488889,-0.0035307878,0.0028623762,0.004689899,4.577779,168.89015,168.92206,4.4566665,103.94907,128.418,108.662636,0.94461656,-0.058996025,-0.9940272,370,0.3809371,0.0679501090762508,0.0607942883967439,0.0491098345946208,10,0.0066977297427884,39,37.0,33,10,1.7320508075688772,388.3050527572632,354.0557657718658,327.42437648773193,10,17.220425823765847,0.0,0.0,0.0,10,0.0,-0.0030548007576978,-0.0040799666043857,-0.008511462643341,10,0.0016338027258985,-16.6387125,-17.8703325,-18.967737499999995,10,0.5919407546684873,9.3669772791335,8.451104067890231,7.174032077891452,10,0.7188695039404639,8.577364073124881,6.9669661582447215,6.186681764354046,10,0.7984941778868052,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-1.0022757695539304,-1.2892666552206675,-1.4581476881566386,10,0.1583085590392849,-0.015538730662629,-0.1212193345676091,-0.2204932680050136,10,0.0513555387675389,58.763074493435525,39.831602547621074,31.18222256423452,10,10.539774409082227,65.99720669464197,51.45525400231799,29.27452135867181,10,14.474418421882827,0.0,0.0,0.0,10,0.0,-1.024729570233586,-1.290385724906646,-1.561118968607801,10,0.1722575911245801,15.514475776089036,13.111446891547963,10.8178357075097,10,1.4714168318736591,15.315156724131146,13.931136946181429,12.21162075058682,10,0.927903541742434,102.73945730619155,92.22002102848587,81.84785933095145,10,6.480462181725531,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,167.32725146740017,147.37425226308565,132.5843439157273,10,8.955779984743579,0.0303030303030303,0.0270896197211986,0.0256410256410256,10,0.0013391009125403,3.6604433,-0.020700304,-3.868481,1000,0.71747214,92,38.235112738485256,19,5189,5.041801797091773,746.9389083385468,308.5829382453449,137.46168899536133,5189,57.16581878449617,12187.0,147.47718572616577,200000.0,2.0,262.75912594795227,400000.0,1356.141961993756,2000.0
0.0040914216,0.0002760614,23.565748,-0.004965052,5.125235e-05,0.006850311,9.427767,170.06639,170.07648,9.093827,168.48853,173.13805,161.21503,0.99996936,-0.090045534,-0.9999999,365,0.53554684,0.1210939750974845,0.1159066503854216,0.1038857585590748,10,0.0050802803019042,42,36.5,32,10,2.7294688127912363,349.2092638015747,329.5217710018158,307.0108089447021,10,13.80295770708693,0.0,0.0,0.0,10,0.0,-0.0132637530289524,-0.0148219929927122,-0.0171782911858037,10,0.0011193168210907,-19.3624875,-21.059912500000003,-23.250775,10,1.3453969548055325,9.2202271491466,8.566399982140473,8.161119657631714,10,0.3462107668425081,7.73674880193702,6.955884409503407,5.90693165105664,10,0.6160483492283375,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-2.793490985466506,-3.079869941341075,-3.3537904226167106,10,0.2126268100969377,0.0,-0.1369195370186348,-0.2893397535874307,10,0.0939040261181275,51.83256097721118,34.19211164396683,27.4422111154325,10,8.583431257408046,69.52412130136956,51.18988883907733,25.838813565542875,10,16.395934459187565,0.0,0.0,0.0,10,0.0,-1.1087739854073322,-1.4062220471545546,-1.8667633158984045,10,0.1986441250563928,16.743703058287526,12.76103687915597,9.756181474519414,10,1.9894724546828613,15.293891334357806,13.606415303917624,10.96850230219004,10,1.411956511685993,96.6483221702339,87.90769751891003,80.64853706873137,10,5.042127189906043,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,148.3533030713022,136.96021225376916,124.0596197961175,10,8.311131942136889,0.03125,0.0275500407408302,0.0238095238095238,10,0.0020523615644024,4.306432,-0.06655181,-4.169286,1000,0.79515576,115,44.954268979499886,25,4439,8.93537303796069,994.9630632400512,437.71823741095807,228.2318572998047,4439,89.9364011237081,16626.0,142.43313431739807,200000.0,3.0,405.1922643184662,600000.0,1404.1676535343236,3000.0
0.00021451896,1.5019996e-05,31.955042,-0.0053812843,2.141522e-06,0.0079376865,10.827352,170.85655,170.8578,10.159449,201.86896,242.41573,192.75735,0.9999987,-0.08462096,-1.0,497,0.5288551,0.1286322542906131,0.1176915619925133,0.1101708824493065,10,0.0056323875277412,57,49.7,40,10,4.450842616853577,535.4874935150146,476.2465089797973,367.530291557312,10,46.28272706871185,0.0,0.0,0.0,10,0.0,-0.0280201036004372,-0.0334393722735759,-0.0417298329482092,10,0.004603605172958,-23.44815,-30.41746125,-38.38943750000001,10,4.4407309093614105,9.378038744800689,8.561481306466371,8.153906424034147,10,0.3322190578682963,8.623144903650324,7.36377451932924,6.823570151712239,10,0.4552452442552528,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-3.42800151260436,-4.108806215519557,-4.6731848162558975,10,0.392483236659232,-0.2967129112705746,-0.4082021729780717,-0.6228003323948545,10,0.0914411950005169,118.95748798618736,76.38709456825146,56.40355351601374,10,20.450652739129666,109.6635327557452,66.37593232264716,32.530874125673,10,31.082326229701213,0.0,0.0,0.0,10,0.0,-1.3089145192531593,-1.7810560801788458,-1.993701900756112,10,0.1721584253174617,21.32105466764518,18.86226197334564,15.726574282702256,10,1.613375803368618,22.8468391559535,18.84411360693605,13.898526722105569,10,2.623042119321807,139.82218645520348,100.7275514397567,72.61782811759181,10,20.008414289803888,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,232.35825744216424,211.76445808427167,161.44472780847255,10,20.65481399029994,0.025,0.0202953151382529,0.0175438596491228,10,0.0019638221336459,4.175324,-0.10551541,-4.562222,1000,0.8535363,137,51.17768595041322,22,3872,14.532342741425603,1064.6358585357666,514.3573704616759,164.45236349105835,3872,137.6175114866645,20498.0,142.99365711212158,200000.0,4.0,548.185925245285,800000.0,1398.6634375200267,4000.0
1.3480109e-05,9.4461285e-07,39.668415,-0.0053680027,1.3379598e-07,0.008541476,11.181833,171.34998,171.348,11.798529,236.36964,281.68405,223.71088,1.0,-0.11491048,-1.0,711,0.6384524,0.1750854705370954,0.1630125836095037,0.1402235284153795,10,0.009883074482315,91,71.1,49,10,12.90310040261642,980.5474081039428,702.2681038379669,477.5861353874207,10,143.87403262918994,0.0,0.0,0.0,10,0.0,-0.0519245768711189,-0.0670947478517565,-0.0914136010830077,10,0.0102374918473799,-34.678787500000006,-47.977915,-60.199375,10,8.80416757822112,16.489056203248527,13.464031327841957,11.0940377109398,10,1.9909463449490457,19.175914831893355,13.42663434291109,8.210579754810517,10,3.490163076826371,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-6.620259383976803,-8.763592182761972,-10.171262076699236,10,1.2406256725069913,-0.490310837243245,-0.6866115093117277,-1.090005246870172,10,0.1967941673551562,208.14895762703765,110.0047714881884,60.14071028820616,10,39.25666393131744,154.85437951490616,95.70405696816373,59.433935073342965,10,26.83544940631497,0.0,0.0,0.0,10,0.0,-1.518940603439343,-2.389619006031414,-3.2129837245183763,10,0.5099585639565744,25.5683311195768,22.453607690132884,18.410259757565672,10,2.104114194862542,24.30038675240129,22.458994842937805,19.7251305471518,10,1.3737139358168469,233.30332060495843,168.29642620070686,87.09567862749859,10,42.60141652067978,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,412.5696969379249,307.5808228457656,202.3101633520703,10,63.8111737848496,0.0204081632653061,0.0145787441303897,0.0109890109890109,10,0.0028795578589788,4.127339,-0.15079828,-4.599401,1000,0.9023531,143,64.29987088444157,22,3098,15.042445003858592,1152.854561328888,663.5880541805914,167.20175218582153,3098,141.2832706106861,23596.0,144.99179005622864,200000.0,5.0,693.1777205467224,1000000.0,1379.3884462178091,5000.0
1.652225e-06,1.1711994e-07,46.717968,-0.004782533,1.505805e-08,0.00851997,11.4001875,171.8047,171.79926,11.982398,265.73666,269.11716,253.34196,1.0,-0.17106217,-1.0,533,0.7054183,0.1898093735690686,0.1819839312565376,0.1648423421344093,10,0.0076562250681806,77,53.3,40,10,12.133012816279392,729.2395277023315,539.6207165718079,409.3724465370178,10,117.13788385891267,0.0,0.0,0.0,10,0.0,-0.0571181004269047,-0.0714577427453803,-0.0857579110804363,10,0.0084774078578884,-28.895699999999994,-36.5025325,-48.19897499999999,10,6.64097628838185,16.41953220491497,12.51641744880406,9.336548566005767,10,2.3112197302530526,19.624818551723937,11.324931785356895,7.9660780571135295,10,3.62538801963118,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-5.912904384912092,-7.591577756445401,-10.599203650671647,10,1.5597282154255474,-0.5569669157081608,-0.7493026074996112,-1.104495984244747,10,0.1497507114427361,117.27822253692004,104.87155754029232,92.80485682876296,10,8.387881766960405,94.07948625034368,81.39841627414089,70.07781479918904,10,7.426570657161855,0.0,0.0,0.0,10,0.0,-1.1976806345600028,-1.7299031341995923,-2.6383864116748748,10,0.4595930773712355,23.9166198087783,18.61746261823184,14.12468251074166,10,3.61915425917248,21.433981171879,19.33885261475607,15.914376502197443,10,1.9622478026972248,168.09494112776122,104.6961924980491,60.319099207429474,10,39.95375248504856,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,340.63213215776534,225.910081407669,162.74150251881522,10,62.85630350324079,0.025,0.0196451062296691,0.0129870129870129,10,0.0039291099891681,4.466697,-0.19226429,-4.551774,1000,0.94439226,169,73.5138019874862,29,2717,16.023982904653362,1418.9815974235537,779.4540081691829,300.4441022872925,2717,120.20214010858842,26313.0,169.11200976371765,200000.0,6.0,862.2897348403931,1200000.0,1182.6481175372398,6000.0
6.1557455e-07,4.3848434e-08,52.92024,-0.0042234184,5.3975353e-09,0.008457037,11.543721,172.16539,172.15823,10.883074,293.86893,242.39154,285.5293,1.0,-0.21703295,-1.0,696,0.7157734,0.1881485714943341,0.1744594410599427,0.1568865288559536,10,0.0096624898680462,88,69.6,55,10,11.128342194594843,967.239884376526,716.8270765781402,561.5460457801819,10,119.55512822653246,0.0,0.0,0.0,10,0.0,-0.0707729424520764,-0.0887522265261562,-0.1056482336364071,10,0.0117717210490885,-35.093275,-45.0765025,-57.4163875,10,7.044218352359078,23.42582809722201,19.282273611067367,14.367210961808611,10,2.458711442914613,30.128918295951166,20.45360631925788,9.114376375843236,10,6.146231770458219,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-6.652736693324426,-9.590225248284602,-12.281784218938215,10,1.820890564957959,-0.3312627556684668,-0.7622344380515432,-1.280263786967954,10,0.290433746955646,159.65648282705416,111.70591165110147,85.93675660457438,10,21.631996481846496,163.30961811876077,116.7322405608998,89.74574767346104,10,27.438742540394227,0.0,0.0,0.0,10,0.0,-1.4402651944767395,-2.167942905455611,-2.88181808076222,10,0.4393060349467167,25.226640714771868,22.76615331948119,21.18756788054288,10,1.0692545535003994,24.123212030677024,22.91124455816556,20.538914913538544,10,1.188820946914248,218.985891720984,144.32646095597516,80.65802304760959,10,43.303274906890536,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,407.3840821635137,306.74461719672433,233.11985949550188,10,52.20009803259288,0.0181818181818181,0.0147472840750138,0.0113636363636363,10,0.0023900182692542,4.6962624,-0.24386099,-5.002693,1000,0.96804935,185,75.96304761904761,27,2625,17.028015186398225,1527.3675582408905,832.3882918916988,217.48300743103027,2625,133.81265279990234,28938.0,144.3990068435669,200000.0,7.0,1006.688746213913,1400000.0,1385.0510773711055,7000.0
3.7210876e-07,2.65659e-08,58.679577,-0.0039960784,3.2028045e-09,0.008690445,11.66501,172.30473,172.29677,10.266516,325.21643,232.7079,319.50458,1.0,-0.2267769,-1.0,843,0.7308125,0.1926606168979563,0.1812103350266869,0.1690675861950168,10,0.0074899191843963,152,84.3,62,10,25.604882346927507,1661.7422442436218,859.5207831859589,574.2075772285461,10,295.4425425513622,0.0,0.0,0.0,10,0.0,-0.0789802059716802,-0.1188199361505583,-0.1954782686036891,10,0.0344222627150229,-41.35006250000001,-56.49267249999999,-102.24025,10,17.462766482246234,27.77929781385125,18.54512912537841,14.263209420882651,10,3.614573081547433,43.88538071097662,20.904848283506148,13.661475600304271,10,8.29411826914378,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-8.658916239343718,-11.907490712227837,-20.361034464021813,10,3.1593460557048165,-0.3986647413938553,-0.9239041657114956,-2.1741968472850446,10,0.513957177109403,324.05982884395576,133.78161030636193,75.32598869554671,10,67.71799300379602,318.3938773818854,150.31146020286988,86.74805505054698,10,62.62412202550718,0.0,0.0,0.0,10,0.0,-1.919604990802768,-2.68212493730342,-4.546365757456542,10,0.71219869093916,51.18593743536866,26.678573966300167,21.891963983058872,10,8.329729785569636,56.48920646455909,27.06577700703913,21.37581690535284,10,9.988272029688378,356.3347810329968,175.76401759375807,99.90226295421245,10,71.06237090446544,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,592.770228421897,366.68688962057234,261.03001922923414,10,94.08270653708612,0.0161290322580645,0.012693986938113,0.006578947368421,10,0.0028562535784378,4.314173,-0.29222208,-4.9010773,1000,0.9766651,200,79.3122028526149,30,2524,17.25652434269174,1751.402414560318,903.4782669523468,345.5199661254883,2524,137.8243229064663,31462.0,144.52571940422058,200000.0,8.0,1151.2144694328308,1600000.0,1383.8367373257954,8000.0
2.6766415e-07,1.9126427e-08,63.955708,-0.0036247012,2.2867097e-09,0.008741159,11.755203,172.413,172.40463,9.557714,352.7385,196.75952,349.12308,1.0,-0.22408761,-1.0,754,0.7431892,0.2018940639824171,0.1882715224897456,0.1701133081456349,10,0.0090651377652473,110,75.4,53,10,21.66656410232135,1047.421576976776,772.7863975048065,493.7751269340515,10,195.15379014603707,0.0,0.0,0.0,10,0.0,-0.0821415870160375,-0.1294952617838003,-0.1819520719747737,10,0.0332710432682867,-36.7314875,-51.056965,-74.015625,10,14.060166576873518,18.027535778152743,14.36988067753732,10.452168998549878,10,2.595515046024388,27.47932597929857,17.604294302599605,11.822267897434092,10,5.988652063250672,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-7.488159313610903,-11.182240903069353,-17.412931135480633,10,3.0444033022607964,-0.3828754881860659,-0.8923181663383349,-1.411220842007029,10,0.3179077029162204,206.20007387776084,129.17950942917545,81.08199223108488,10,49.95691316962206,212.8955493971944,154.991521113744,93.3676005177214,10,40.84091665706193,0.0,0.0,0.0,10,0.0,-1.6591161475577147,-2.499121295827236,-3.716845179643089,10,0.6879459583834899,31.08200695162407,24.748409474952688,19.68756030744313,10,3.534831680278679,33.59668085537936,24.533733615760664,19.75633418009137,10,4.941503801496144,156.70316909532812,129.01345578026454,81.65218860664271,10,26.27374021159342,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,503.0156181802897,332.9234924680503,215.59878349495207,10,103.20228494759888,0.0188679245283018,0.014315265965401,0.009090909090909,10,0.0036954965198212,4.790764,-0.30433086,-5.1412,1000,0.9943882,176,86.08159722222223,41,2304,18.60348612652995,1786.0164756774902,976.3825866763816,472.4663028717041,2304,147.19405286032833,33766.0,144.73420333862305,200000.0,9.0,1295.9486770629885,1800000.0,1381.8433748661053,9000.0
2.0976974e-07,1.5024176e-08,68.653656,-0.0031781846,1.7573999e-09,0.008670477,11.817736,172.49994,172.49135,8.913056,376.23975,174.62999,373.76462,1.0,-0.2335952,-1.0,701,0.7590238,0.2078049026316563,0.1953273157146668,0.1833336437126701,10,0.008875749709117,112,70.1,35,10,26.40624926035502,1114.4179220199585,710.639733171463,401.9392356872559,10,246.2750430417556,0.0,0.0,0.0,10,0.0,-0.0852333594281295,-0.141276108421629,-0.2291060253791545,10,0.044937015586894,-25.2047875,-50.14903999999999,-79.463175,10,19.383569193714685,21.267072048817635,13.575492203425052,9.040646451873055,10,3.799299539860907,28.332515287837246,17.25389454689047,8.656909584828925,10,6.015068197405593,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-5.061785264463825,-10.706858038459824,-16.791101813374926,10,3.581720492134257,-0.7072011259775095,-1.135737816656304,-1.4308183807162762,10,0.2650401785223496,233.5342511862612,128.37245953936986,81.00047028538938,10,61.798009436668586,186.5351925630253,134.83521542001188,82.80540574848801,10,39.57359577739994,0.0,0.0,0.0,10,0.0,-1.1114682234598687,-2.373610032253813,-4.106347624833853,10,1.013868918487459,32.18223877780686,22.827672416187006,13.56705760317154,10,6.112821507247853,34.928551753092506,23.17363488195108,10.610940926468189,10,7.210581219670941,160.47370933750008,120.0926278420198,67.70347413438348,10,30.551310587609947,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,516.4101254065355,304.30839955646616,144.03336355424906,10,125.71025409402476,0.0285714285714285,0.0164813913011506,0.0089285714285714,10,0.0062216624712583,4.3369975,-0.30537206,-4.4768414,1000,1.0079892,208,92.85348837209304,38,2150,21.85358092988806,1838.0916457176208,1025.0884650868177,449.8950090408325,2150,168.12659509283398,35916.0,144.10506176948547,200000.0,10.0,1440.0537428855896,2000000.0,1387.8763004170223,10000.0
