strength_factor,vmax_factor,steps_survived,distance,measured_speed,confidence,cadence_per_1000steps,stride_length_approx,double_support_pct,single_support_pct,n_total_strikes
0.8,1.0,1000,12.830403408384347,0.012830403408384348,ok,21.649484536082472,0.6109715908754451,10.618556701030927,89.38144329896907,21
0.8,0.9,1000,13.880746914264623,0.013880746914264623,ok,21.649484536082472,0.6609879482983154,8.041237113402062,87.73195876288659,21
0.8,0.8,1000,13.635669837395534,0.013635669837395534,ok,20.61855670103093,0.6817834918697767,7.628865979381444,87.01030927835052,20
0.8,0.7,1000,14.221863188117416,0.014221863188117415,ok,20.61855670103093,0.7110931594058708,8.45360824742268,91.03092783505154,20
0.8,0.6,1000,14.67970907646566,0.01467970907646566,ok,19.587628865979383,0.7726162671824032,7.9381443298969065,91.54639175257732,19
0.8,0.5,516,7.765151336397681,0.015048742899995506,ok,24.691358024691358,0.6470959446998067,7.4074074074074066,82.71604938271605,12
0.8,0.4,142,2.3973895772006553,0.01688302519155391,low_confidence,17.857142857142858,1.1986947886003276,5.357142857142857,74.10714285714286,2
0.8,0.3,102,1.6087542601399463,0.015772100589607315,low_confidence,12.987012987012989,1.6087542601399463,0.0,100.0,1
0.6,1.0,1000,14.305695593046028,0.01430569559304603,ok,24.74226804123711,0.5960706497102511,20.51546391752577,79.48453608247422,24
0.6,0.9,1000,14.53571920142986,0.01453571920142986,ok,23.711340206185564,0.6319877913665156,18.350515463917525,81.64948453608247,23
0.6,0.8,412,6.271095448665579,0.015221105457926163,ok,26.17801047120419,0.6271095448665579,18.06282722513089,76.70157068062828,10
0.6,0.7,336,5.094228194650372,0.015161393436459438,ok,19.607843137254903,0.8490380324417286,13.725490196078432,73.52941176470588,6
0.6,0.6,144,2.3725882077278526,0.016476306998110087,low_confidence,17.543859649122805,1.1862941038639263,24.561403508771928,52.63157894736842,2
0.6,0.5,103,1.652752742344266,0.016046143129555983,low_confidence,25.64102564102564,0.826376371172133,3.8461538461538463,92.3076923076923,2
0.6,0.4,92,1.46480669910375,0.01592181194677989,low_confidence,14.492753623188406,1.46480669910375,0.0,85.5072463768116,1
0.6,0.3,76,1.2122311548385258,0.015950409932085866,low_confidence,17.543859649122805,1.2122311548385258,5.263157894736842,84.21052631578947,1
