jitter_std,n_episodes,n_total_strikes,mean_dur,cv_dur
0.0,30,30,104.0,0.0
0.5,30,119,91.8655462184874,0.2252089424779716
1.0,30,73,91.54794520547945,0.2000796057834014
1.5,30,98,87.90816326530613,0.27523800892674627
2.0,30,52,88.84615384615384,0.2888227858054482
3.0,30,10,92.0,0.18908045316577857
