strength_factor,vmax_factor,steps_survived,distance,measured_speed,confidence,cadence_per_1000steps,stride_length_approx,double_support_pct,single_support_pct,n_total_strikes
0.8,1.0,1000,12.830403408384347,0.012830403408384348,ok,21.649484536082472,0.6109715908754451,10.618556701030927,89.38144329896907,21
0.8,0.95,1000,13.046290437851653,0.013046290437851653,ok,19.587628865979383,0.686646865150087,8.144329896907216,89.07216494845362,19
0.8,0.9,1000,13.880746914264623,0.013880746914264623,ok,21.649484536082472,0.6609879482983154,8.041237113402062,87.73195876288659,21
0.8,0.85,1000,13.37059613242809,0.013370596132428091,ok,19.587628865979383,0.7037155859172679,7.31958762886598,88.45360824742268,19
0.8,0.8,1000,13.635669837395534,0.013635669837395534,ok,20.61855670103093,0.6817834918697767,7.628865979381444,87.01030927835052,20
0.8,0.75,1000,13.699407877468753,0.013699407877468752,ok,19.587628865979383,0.7210214672351976,8.144329896907216,88.14432989690721,19
0.8,0.7,1000,14.221863188117416,0.014221863188117415,ok,20.61855670103093,0.7110931594058708,8.45360824742268,91.03092783505154,20
0.8,0.65,1000,14.650440755801325,0.014650440755801325,ok,20.61855670103093,0.7325220377900663,9.484536082474227,90.51546391752578,20
0.8,0.6,1000,14.67970907646566,0.01467970907646566,ok,19.587628865979383,0.7726162671824032,7.9381443298969065,91.54639175257732,19
0.8,0.55,1000,14.808008309425162,0.014808008309425162,ok,19.587628865979383,0.779368858390798,7.9381443298969065,89.79381443298969,19
