strength_factor,vmax_factor,steps_survived,confidence,distance,double_support_pct,cadence_per_1000steps,n_total_strikes,gap_to_ALS
1.0,1.0,116,low_confidence,1.258887982604539,1.1494252873563218,22.988505747126435,2,39.61719471264368
1.0,0.8,1000,ok,12.74737746493453,4.639175257731959,45.360824742268036,44,36.12744474226805
1.0,0.6,1000,ok,13.906327977134735,3.814432989690722,38.14432989690722,37,36.95218701030928
1.0,0.4,187,ok,3.1570994412796782,5.7324840764331215,76.43312101910827,12,35.03413592356688
1.0,0.3,111,low_confidence,1.7431388281392968,9.523809523809524,47.61904761904761,4,31.242810476190478
1.0,0.2,84,low_confidence,1.324365873175842,14.285714285714285,47.61904761904761,3,26.48090571428572
1.0,0.15,72,low_confidence,1.0999637526157875,9.25925925925926,18.51851851851852,1,31.507360740740744
1.0,0.1,67,low_confidence,1.0513889340586429,9.803921568627452,19.607843137254903,1,30.96269843137255
0.95,1.0,156,ok,2.09765107185222,14.285714285714285,47.61904761904761,6,26.48090571428572
0.95,0.8,555,ok,7.36291763316239,4.761904761904762,30.476190476190474,16,36.004715238095244
0.95,0.6,1000,ok,13.60821570251727,4.948453608247423,45.360824742268036,44,35.818166391752584
0.95,0.4,179,ok,2.9616714280264227,7.38255033557047,46.97986577181208,7,33.38406966442953
0.95,0.3,110,low_confidence,1.7341729255236753,9.63855421686747,48.19277108433735,4,31.128065783132534
0.95,0.2,84,low_confidence,1.3319505525736859,12.698412698412698,63.49206349206349,4,28.068207301587307
0.95,0.15,72,low_confidence,1.0971556078790177,18.51851851851852,37.03703703703704,2,22.248101481481484
0.95,0.1,67,low_confidence,1.0543116634192404,11.76470588235294,19.607843137254903,1,29.00191411764706
0.9,1.0,104,low_confidence,1.4179109071416887,10.256410256410255,51.28205128205128,4,30.510209743589748
0.9,0.8,1000,ok,13.907432379772104,5.360824742268041,39.175257731958766,38,35.40579525773196
0.9,0.6,1000,ok,13.732694836807356,5.567010309278351,45.360824742268036,44,35.19960969072165
0.9,0.4,560,ok,8.844860916782567,5.283018867924529,33.9622641509434,18,35.48360113207548
0.9,0.3,107,low_confidence,1.696368628308915,9.876543209876543,37.03703703703704,3,30.89007679012346
0.9,0.2,84,low_confidence,1.339761963568275,19.047619047619047,47.61904761904761,3,21.719000952380956
0.9,0.15,72,low_confidence,1.1036086649708434,22.22222222222222,55.55555555555555,3,18.54439777777778
0.9,0.1,66,low_confidence,1.037536855653959,12.0,40.0,2,28.766620000000003
0.85,1.0,1000,ok,13.821367169218147,4.43298969072165,40.206185567010316,39,36.333630309278355
0.85,0.8,1000,ok,13.618730474515152,5.77319587628866,45.360824742268036,44,34.99342412371134
0.85,0.6,1000,ok,14.349713091249678,5.257731958762887,49.48453608247422,48,35.508888041237114
0.85,0.4,183,ok,3.1828098061581267,5.88235294117647,58.8235294117647,9,34.88426705882353
0.85,0.3,104,low_confidence,1.6125691341795494,7.6923076923076925,38.46153846153847,3,33.07431230769231
0.85,0.2,84,low_confidence,1.351873591414546,17.46031746031746,31.746031746031743,2,23.306302539682545
0.85,0.15,72,low_confidence,1.1081936206798833,25.925925925925924,18.51851851851852,1,14.84069407407408
0.85,0.1,65,low_confidence,1.019925473874111,16.3265306122449,40.816326530612244,2,24.440089387755105
0.8,1.0,1000,ok,12.830403408384347,7.010309278350515,40.206185567010316,39,33.756310721649484
0.8,0.8,1000,ok,13.635669837395534,6.907216494845361,46.391752577319586,45,33.859403505154646
0.8,0.6,1000,ok,14.67970907646566,6.185567010309279,47.42268041237113,46,34.581052989690725
0.8,0.4,142,low_confidence,2.3973895772006553,7.142857142857142,44.642857142857146,5,33.623762857142864
0.8,0.3,102,low_confidence,1.6087542601399463,6.493506493506493,25.974025974025977,2,34.27311350649351
0.8,0.2,83,low_confidence,1.3296529275276772,19.047619047619047,63.49206349206349,4,21.719000952380956
0.8,0.15,71,low_confidence,1.0937687422743083,29.629629629629626,55.55555555555555,3,11.136990370370377
0.8,0.1,65,low_confidence,1.0238110210227505,18.367346938775512,40.816326530612244,2,22.39927306122449
0.75,1.0,1000,ok,11.665117021410449,7.628865979381444,45.360824742268036,44,33.13775402061856
0.75,0.8,1000,ok,14.546151197994467,5.670103092783505,48.45360824742268,47,35.0965169072165
0.75,0.6,1000,ok,14.781091399524438,7.11340206185567,48.45360824742268,47,33.65321793814434
