combo_name,param1_name,param1_val,param2_name,param2_val,n_strikes,mean_stride_dur,cv_stride_dur,double_support_pct,r_stance_pct,l_stance_pct,steps_survived,distance,confidence
combo_a_ALS_strength_vmax,strength,0.85,vmax,1.0,39,47.810810810810814,0.608976246270195,4.43298969072165,44.53608247422681,55.670103092783506,1000.0,13.821367169218147,ok
combo_a_ALS_strength_vmax,strength,0.85,vmax,0.8,44,40.95238095238095,0.5931007701278346,5.77319587628866,43.608247422680414,57.319587628865975,1000.0,13.618730474515152,ok
combo_a_ALS_strength_vmax,strength,0.85,vmax,0.6,48,39.26086956521739,0.582600659594987,5.257731958762887,42.16494845360825,55.77319587628866,1000.0,14.349713091249678,ok
combo_a_ALS_strength_vmax,strength,0.8,vmax,1.0,39,49.24324324324324,0.6455920289742858,7.010309278350515,46.49484536082474,56.28865979381443,1000.0,12.830403408384347,ok
combo_a_ALS_strength_vmax,strength,0.8,vmax,0.8,45,43.674418604651166,0.533026345180077,6.907216494845361,42.577319587628864,58.04123711340207,1000.0,13.635669837395534,ok
combo_a_ALS_strength_vmax,strength,0.8,vmax,0.6,46,39.5,0.5301502341832021,6.185567010309279,44.74226804123712,55.97938144329897,1000.0,14.67970907646566,ok
combo_a_ALS_strength_vmax,strength,0.75,vmax,1.0,44,42.11904761904762,0.7498149420559058,7.628865979381444,47.21649484536082,55.05154639175258,1000.0,11.665117021410447,ok
combo_a_ALS_strength_vmax,strength,0.75,vmax,0.8,47,39.24444444444445,0.5680334360386768,5.670103092783505,43.29896907216495,57.73195876288659,1000.0,14.546151197994469,ok
combo_a_ALS_strength_vmax,strength,0.75,vmax,0.6,47,40.28888888888889,0.5379894096836642,7.11340206185567,45.876288659793815,56.90721649484536,1000.0,14.781091399524438,ok
combo_a_ALS_strength_vmax,strength,0.6,vmax,1.0,41,46.20512820512821,0.5748535483486419,9.690721649484535,44.74226804123712,61.134020618556704,1000.0,14.305695593046028,ok
combo_a_ALS_strength_vmax,strength,0.6,vmax,0.8,24,30.0,0.8181032509976534,12.30366492146597,50.78534031413613,55.75916230366492,412.0,6.271095448665579,ok
combo_a_ALS_strength_vmax,strength,0.6,vmax,0.6,4,24.0,0.25,8.771929824561402,70.17543859649122,37.719298245614034,144.0,2.3725882077278526,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.8,paretic_vmax,1.0,16,37.642857142857146,0.6115505484907048,8.282208588957054,53.37423312883436,47.54601226993865,356.0,4.908642389276472,ok
combo_b_stroke_unilateral,paretic_strength,0.8,paretic_vmax,0.8,23,47.857142857142854,0.58241348302667,6.5015479876160995,51.857585139318886,48.45201238390093,676.0,8.225018791089589,ok
combo_b_stroke_unilateral,paretic_strength,0.8,paretic_vmax,0.6,10,44.625,0.5158854792297334,7.346938775510205,46.53061224489796,45.30612244897959,275.0,3.5909772357283365,ok
combo_b_stroke_unilateral,paretic_strength,0.6,paretic_vmax,1.0,39,48.16216216216216,0.5241061573881217,8.041237113402062,50.41237113402062,51.23711340206185,1000.0,13.337488129318796,ok
combo_b_stroke_unilateral,paretic_strength,0.6,paretic_vmax,0.8,40,40.5,0.6184200072256388,8.404384896467722,52.49695493300853,47.38124238733252,851.0,11.978632382530678,ok
combo_b_stroke_unilateral,paretic_strength,0.6,paretic_vmax,0.6,26,44.583333333333336,0.4825435562650266,6.913996627318718,56.66104553119731,42.49578414839797,623.0,7.732519186775336,ok
combo_b_stroke_unilateral,paretic_strength,0.5,paretic_vmax,1.0,9,31.714285714285715,0.9716791531121828,8.484848484848486,59.3939393939394,43.03030303030303,195.0,2.968233032533828,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.5,paretic_vmax,0.8,7,37.8,0.6915649548145824,8.045977011494253,51.14942528735632,40.804597701149426,204.0,2.955311176263888,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.5,paretic_vmax,0.6,5,47.666666666666664,0.392232270276368,7.4074074074074066,51.85185185185185,39.50617283950617,192.0,3.1369682588244467,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.4,paretic_vmax,1.0,10,26.5,0.9683492392721764,8.421052631578947,55.78947368421052,42.63157894736842,220.0,3.45488232630739,ok
combo_b_stroke_unilateral,paretic_strength,0.4,paretic_vmax,0.8,7,17.0,0.7204381596421112,13.513513513513514,71.17117117117117,41.44144144144144,141.0,2.105665068386002,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.4,paretic_vmax,0.6,4,32.0,0.3125,6.796116504854369,55.33980582524271,50.48543689320388,133.0,2.0228909491039646,low_confidence
combo_c_feedback_delay_noise,jitter_std,0.5,noise_std,0.0,186,33.067669172932334,0.8686047199206851,1.9750952291225048,84.03765417215502,7.666295739177762,139.72,1.4971021763853545,ok
combo_c_feedback_delay_noise,jitter_std,0.5,noise_std,0.05,299,38.63967611336032,0.7986117907959024,2.5446626878563996,82.0553637269543,10.708208704811767,190.7,2.145583566768023,ok
combo_c_feedback_delay_noise,jitter_std,0.5,noise_std,0.1,384,41.46969696969697,0.714407628777348,1.965123016531828,81.04661235168054,12.319378543526346,230.88,2.6484341373795615,ok
combo_c_feedback_delay_noise,jitter_std,0.5,noise_std,0.2,452,42.968911917098445,0.6647970551541253,2.531520120279266,77.08900697528519,17.07790992130487,274.36,3.315266212087185,ok
combo_c_feedback_delay_noise,jitter_std,1.0,noise_std,0.0,321,42.3011583011583,0.7415415651432535,2.573482617282638,73.74851656942371,16.281196191189725,207.22,2.3696032480753098,ok
combo_c_feedback_delay_noise,jitter_std,1.0,noise_std,0.05,487,43.575117370892016,0.7303431375220634,2.937032986635678,74.03444666204915,17.083641791689132,281.14,3.344298121049618,ok
combo_c_feedback_delay_noise,jitter_std,1.0,noise_std,0.1,412,44.76136363636363,0.71384628089748,3.35039219150676,74.52852719132461,16.315974527049853,255.32,2.9709213172059425,ok
combo_c_feedback_delay_noise,jitter_std,1.0,noise_std,0.2,310,44.35177865612648,0.7465676377192861,2.125701132664351,76.15342199334705,13.473576319508677,209.48,2.332253971679297,ok
combo_c_feedback_delay_noise,jitter_std,1.5,noise_std,0.0,237,42.06547619047619,0.749932999111601,2.832773353021155,67.77063233176912,17.091393565120434,161.34,1.817240754558999,ok
combo_c_feedback_delay_noise,jitter_std,1.5,noise_std,0.05,269,38.15942028985507,0.8809290353175027,2.345110037487748,74.32585615917458,13.350318926081288,170.76,1.8863672074872355,ok
combo_c_feedback_delay_noise,jitter_std,1.5,noise_std,0.1,246,39.54255319148936,0.8140049657509854,1.7281226154269302,77.30355070124237,12.41537322382436,168.76,1.868030887356717,ok
combo_c_feedback_delay_noise,jitter_std,1.5,noise_std,0.2,224,43.47953216374269,0.7545092279239218,2.138945556486937,82.19762049847292,10.319502142880408,173.42,1.9348361466654496,ok
