strength_factor,steps_survived,distance,cadence_per_1000steps,stride_length_approx,cv_stride_duration_R,cv_stride_duration_L,double_support_pct,single_support_pct
1.0,116,1.258887982604539,11.627906976744185,1.258887982604539,nan,nan,0.0,51.162790697674424
0.9,104,1.4179109071416887,13.513513513513514,1.4179109071416887,nan,nan,9.45945945945946,90.54054054054053
0.85,1000,13.821367169218147,19.587628865979383,0.727440377327271,0.04029308107200249,0.03049182562641317,5.257731958762887,91.85567010309278
0.8,1000,12.830403408384347,21.649484536082472,0.6109715908754451,0.11078871405179516,0.24879472887097462,10.618556701030927,89.38144329896907
0.75,1000,11.665117021410449,19.587628865979383,0.6139535274426552,0.18225412259561424,0.13566524362420515,11.54639175257732,87.52577319587628
0.7,282,4.202795877777039,19.841269841269842,0.8405591755554077,0.061855670103092786,0.0,21.03174603174603,77.77777777777779
0.6,1000,14.305695593046028,24.74226804123711,0.5960706497102511,0.048460558199759654,0.340334904842339,20.51546391752577,79.48453608247422
0.5,311,4.593162577433211,21.352313167259787,0.7655270962388685,0.021052631578947368,0.0049261083743842365,14.23487544483986,83.27402135231317
0.4,82,1.345456902453533,19.230769230769234,1.345456902453533,nan,nan,7.6923076923076925,86.53846153846155
0.3,47,0.7241256830825926,58.8235294117647,0.7241256830825926,nan,nan,0.0,70.58823529411765
