combo_name,param1_name,param1_val,param2_name,param2_val,n_total_strikes,mean_stride_dur,cv_stride_dur,double_support_pct,r_stance_pct,l_stance_pct,steps_survived,distance,confidence
combo_a_ALS_strength_vmax,strength,0.85,vmax,1.0,39,47.810810810810814,0.608976246270195,4.43298969072165,44.53608247422681,55.670103092783506,1000,13.821367169218147,ok
combo_a_ALS_strength_vmax,strength,0.85,vmax,0.8,44,40.95238095238095,0.5931007701278346,5.77319587628866,43.608247422680414,57.319587628865975,1000,13.618730474515152,ok
combo_a_ALS_strength_vmax,strength,0.85,vmax,0.6,48,39.26086956521739,0.582600659594987,5.257731958762887,42.16494845360825,55.77319587628866,1000,14.349713091249678,ok
combo_a_ALS_strength_vmax,strength,0.8,vmax,1.0,39,49.24324324324324,0.6455920289742858,7.010309278350515,46.49484536082474,56.28865979381443,1000,12.830403408384347,ok
combo_a_ALS_strength_vmax,strength,0.8,vmax,0.8,45,43.674418604651166,0.533026345180077,6.907216494845361,42.577319587628864,58.04123711340207,1000,13.635669837395534,ok
combo_a_ALS_strength_vmax,strength,0.8,vmax,0.6,46,39.5,0.5301502341832021,6.185567010309279,44.74226804123712,55.97938144329897,1000,14.67970907646566,ok
combo_a_ALS_strength_vmax,strength,0.75,vmax,1.0,44,42.11904761904762,0.7498149420559058,7.628865979381444,47.21649484536082,55.05154639175258,1000,11.665117021410449,ok
combo_a_ALS_strength_vmax,strength,0.75,vmax,0.8,47,39.24444444444445,0.5680334360386768,5.670103092783505,43.29896907216495,57.73195876288659,1000,14.546151197994467,ok
combo_a_ALS_strength_vmax,strength,0.75,vmax,0.6,47,40.28888888888889,0.5379894096836642,7.11340206185567,45.876288659793815,56.90721649484536,1000,14.781091399524438,ok
combo_a_ALS_strength_vmax,strength,0.6,vmax,1.0,41,46.205128205128204,0.5748535483486419,9.690721649484537,44.74226804123712,61.134020618556704,1000,14.305695593046028,ok
combo_a_ALS_strength_vmax,strength,0.6,vmax,0.8,24,30.0,0.8181032509976534,12.30366492146597,50.78534031413613,55.75916230366492,412,6.271095448665579,ok
combo_a_ALS_strength_vmax,strength,0.6,vmax,0.6,4,24.0,0.25,8.771929824561402,70.17543859649122,37.719298245614034,144,2.3725882077278526,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.8,paretic_vmax,1.0,16,37.642857142857146,0.6115505484907048,8.282208588957054,53.37423312883436,47.54601226993865,356,4.908642389276472,ok
combo_b_stroke_unilateral,paretic_strength,0.8,paretic_vmax,0.8,23,47.857142857142854,0.58241348302667,6.5015479876160995,51.857585139318886,48.45201238390093,676,8.225018791089589,ok
combo_b_stroke_unilateral,paretic_strength,0.8,paretic_vmax,0.6,10,44.625,0.5158854792297334,7.346938775510205,46.53061224489796,45.30612244897959,275,3.5909772357283365,ok
combo_b_stroke_unilateral,paretic_strength,0.6,paretic_vmax,1.0,39,48.16216216216216,0.5241061573881217,8.041237113402062,50.41237113402062,51.23711340206185,1000,13.337488129318796,ok
combo_b_stroke_unilateral,paretic_strength,0.6,paretic_vmax,0.8,40,40.5,0.6184200072256388,8.404384896467722,52.496954933008524,47.38124238733252,851,11.978632382530678,ok
combo_b_stroke_unilateral,paretic_strength,0.6,paretic_vmax,0.6,26,44.583333333333336,0.4825435562650266,6.913996627318718,56.66104553119731,42.49578414839797,623,7.7325191867753365,ok
combo_b_stroke_unilateral,paretic_strength,0.5,paretic_vmax,1.0,9,31.714285714285715,0.9716791531121829,8.484848484848486,59.3939393939394,43.03030303030303,195,2.9682330325338278,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.5,paretic_vmax,0.8,7,37.8,0.6915649548145824,8.045977011494253,51.14942528735632,40.804597701149426,204,2.955311176263888,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.5,paretic_vmax,0.6,5,47.666666666666664,0.39223227027636803,7.4074074074074066,51.85185185185185,39.50617283950617,192,3.1369682588244467,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.4,paretic_vmax,1.0,10,26.5,0.9683492392721765,8.421052631578947,55.78947368421052,42.63157894736842,220,3.45488232630739,ok
combo_b_stroke_unilateral,paretic_strength,0.4,paretic_vmax,0.8,7,17.0,0.7204381596421112,13.513513513513514,71.17117117117117,41.44144144144144,141,2.105665068386002,low_confidence
combo_b_stroke_unilateral,paretic_strength,0.4,paretic_vmax,0.6,4,32.0,0.3125,6.796116504854369,55.33980582524271,50.48543689320388,133,2.0228909491039646,low_confidence
