strength_factor,vmax_factor,steps_survived,distance,measured_speed,confidence,cadence_per_1000steps,stride_length_approx,double_support_pct,single_support_pct,cv_dur_R,cv_dur_L,n_total_strikes
0.9,1.0,104,1.4179109071416887,0.013633758722516237,low_confidence,12.82051282051282,1.4179109071416887,8.974358974358974,91.02564102564102,nan,nan,1
0.85,0.9,1000,13.733694561318645,0.013733694561318645,ok,19.587628865979383,0.7228260295430866,5.257731958762887,92.37113402061856,0.036452283527517504,0.03128913204198137,19
0.8,0.8,1000,13.635669837395534,0.013635669837395534,ok,20.61855670103093,0.6817834918697767,7.628865979381444,87.01030927835052,0.03893496232654704,0.02426854752977912,20
0.75,0.7,1000,14.473613260331854,0.014473613260331855,ok,19.587628865979383,0.7617691189648345,6.907216494845361,92.26804123711341,0.04271114785690555,0.02530627178566877,19
0.7,0.65,1000,14.574771856838938,0.014574771856838937,ok,20.61855670103093,0.7287385928419469,10.309278350515463,86.18556701030928,0.02866649112918436,0.022548392796566355,20
0.65,0.6,133,2.215459691269644,0.016657591663681533,low_confidence,19.41747572815534,1.107729845634822,15.53398058252427,71.84466019417476,nan,nan,2
0.6,0.55,127,2.142116696497116,0.016867060602339497,low_confidence,20.61855670103093,1.071058348248558,7.216494845360824,80.41237113402062,nan,nan,2
