controller_type,param_value,n_episodes,n_total_strikes,mean_dur_right,cv_dur_right,mean_dur_left,cv_dur_left
motor_noise_pooled,0.0,15,15,nan,nan,104.0,0.0
motor_noise_pooled,0.05,15,8,43.333333333333336,0.2355906589402085,129.6,0.2270459822753263
motor_noise_pooled,0.1,15,41,95.77777777777777,0.11503652489377351,85.43478260869566,0.28628928315955976
motor_noise_pooled,0.2,15,19,95.77777777777777,0.08746207343373906,89.3,0.2261954917367654
motor_noise_pooled,0.3,15,47,81.22727272727273,0.35018305364940927,81.44,0.2883459713063454
motor_noise_pooled,0.5,15,83,83.73170731707317,0.3327643378424794,86.97619047619048,0.2393175710931616
motor_noise_pooled,0.0,50,50,nan,nan,104.0,0.0
motor_noise_pooled,0.05,50,29,82.33333333333333,0.3169681108475552,110.41176470588235,0.32716112297567035
motor_noise_pooled,0.1,50,81,93.3157894736842,0.16246690040421974,93.88372093023256,0.24648396763217745
motor_noise_pooled,0.2,50,102,94.97916666666667,0.10625762871249106,93.0,0.18421916302400568
motor_noise_pooled,0.3,50,229,89.17117117117117,0.22815355980734067,90.03389830508475,0.23721844140765688
motor_noise_pooled,0.5,50,317,81.88311688311688,0.31148697952663096,86.65030674846626,0.21900755301549094
