strength_factor,steps_survived,distance,measured_speed,confidence,cadence_per_1000steps,stride_length_approx,predicted_speed_check,double_support_pct,single_support_pct,n_total_strikes
1.0,116,1.258887982604539,0.010852482608659819,low_confidence,11.494252873563218,1.258887982604539,0.014469976811546425,0.0,51.724137931034484,1
0.9,104,1.4179109071416887,0.013633758722516237,low_confidence,12.82051282051282,1.4179109071416887,0.01817834496335498,8.974358974358974,91.02564102564102,1
0.85,1000,13.821367169218147,0.013821367169218148,ok,19.587628865979383,0.727440377327271,0.014248832133214586,5.257731958762887,91.85567010309278,19
0.8,1000,12.830403408384347,0.012830403408384348,ok,21.649484536082472,0.6109715908754451,0.013227220008643655,10.618556701030927,89.38144329896907,21
0.75,1000,11.665117021410449,0.011665117021410449,ok,19.587628865979383,0.6139535274426552,0.012025893836505618,11.54639175257732,87.52577319587628,19
0.7,282,4.202795877777039,0.014903531481478861,ok,19.841269841269842,0.8405591755554077,0.01667776141975015,21.03174603174603,77.77777777777779,5
0.65,354,5.538443302739879,0.015645320064236946,ok,27.777777777777775,0.6153825891933199,0.01709396081092555,10.493827160493826,82.4074074074074,9
0.6,1000,14.305695593046028,0.01430569559304603,ok,24.74226804123711,0.5960706497102511,0.014748139786645388,20.51546391752577,79.48453608247422,24
0.55,587,8.79323499747373,0.014979957406258484,ok,23.33931777378815,0.6764026921133639,0.01578677737427959,8.797127468581687,87.61220825852783,13
0.5,311,4.593162577433211,0.014769011503000678,ok,21.352313167259787,0.7655270962388685,0.016345774296915343,14.23487544483986,83.27402135231317,6
0.45,183,3.062838763124928,0.01673682384221272,ok,26.143790849673202,0.765709690781232,0.02001855400735247,18.954248366013072,77.77777777777779,4
0.4,82,1.345456902453533,0.016408011005530892,low_confidence,16.129032258064516,1.345456902453533,0.021700917781508598,6.451612903225806,88.70967741935483,1
0.35,51,0.7850252959773443,0.015392652862300868,low_confidence,25.64102564102564,0.7850252959773443,0.020128853743008827,20.51282051282051,61.53846153846154,1
0.3,47,0.7241256830825926,0.015406929427289206,low_confidence,27.777777777777775,0.7241256830825926,0.020114602307849793,22.22222222222222,58.333333333333336,1
0.25,43,0.6891224135148127,0.016026102639879365,low_confidence,30.303030303030305,0.6891224135148127,0.02088249737923675,27.27272727272727,42.42424242424242,1
0.2,35,0.5668633345793687,0.016196095273696247,low_confidence,37.03703703703704,0.5668633345793687,0.020994938317754393,29.629629629629626,51.85185185185185,1
0.15,29,0.4715841668552816,0.01626152299500971,low_confidence,45.45454545454545,0.4715841668552816,0.021435643947967344,31.818181818181817,59.09090909090909,1
0.1,25,0.39975256893340544,0.015990102757336217,low_confidence,52.63157894736842,0.39975256893340544,0.021039608891231864,36.84210526315789,57.89473684210527,1
0.05,22,0.3437711734724784,0.0156259624305672,low_confidence,117.6470588235294,0.1718855867362392,0.0202218337336752,41.17647058823529,52.94117647058824,2
