strength,vmax,jitter,noise,n_strikes,mean_stride_dur_s,cv_stride_dur,double_support_pct,r_stance_pct,l_stance_pct,confidence
0.85,1.0,0.5,0.0,561,0.4342067736185383,0.6574562811395784,8.63095561750753,57.79965559237517,40.119439447406116,ok
0.75,0.9,1.0,0.05,705,0.4582127659574468,0.6226631234254635,8.676756901415494,50.00867056678791,51.21410230404133,ok
0.6,0.8,1.5,0.1,281,0.44722419928825624,0.647287224957759,13.307840274029132,53.03742370638955,54.98003221599488,ok
0.6,0.7,1.5,0.2,131,0.38106870229007633,0.6646689555382588,13.711511902354053,55.44945079213609,52.61627117369383,ok
