actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/action_smoothness/max,test/rwd_metrics/action_smoothness/mean,test/rwd_metrics/action_smoothness/min,test/rwd_metrics/action_smoothness/size,test/rwd_metrics/action_smoothness/std,test/rwd_metrics/active_muscle_count/max,test/rwd_metrics/active_muscle_count/mean,test/rwd_metrics/active_muscle_count/min,test/rwd_metrics/active_muscle_count/size,test/rwd_metrics/active_muscle_count/std,test/rwd_metrics/ankle_imitation_nonparetic/max,test/rwd_metrics/ankle_imitation_nonparetic/mean,test/rwd_metrics/ankle_imitation_nonparetic/min,test/rwd_metrics/ankle_imitation_nonparetic/size,test/rwd_metrics/ankle_imitation_nonparetic/std,test/rwd_metrics/ankle_imitation_paretic/max,test/rwd_metrics/ankle_imitation_paretic/mean,test/rwd_metrics/ankle_imitation_paretic/min,test/rwd_metrics/ankle_imitation_paretic/size,test/rwd_metrics/ankle_imitation_paretic/std,test/rwd_metrics/cyclic_hip/max,test/rwd_metrics/cyclic_hip/mean,test/rwd_metrics/cyclic_hip/min,test/rwd_metrics/cyclic_hip/size,test/rwd_metrics/cyclic_hip/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/done_flag/max,test/rwd_metrics/done_flag/mean,test/rwd_metrics/done_flag/min,test/rwd_metrics/done_flag/size,test/rwd_metrics/done_flag/std,test/rwd_metrics/effort_cubed/max,test/rwd_metrics/effort_cubed/mean,test/rwd_metrics/effort_cubed/min,test/rwd_metrics/effort_cubed/size,test/rwd_metrics/effort_cubed/std,test/rwd_metrics/grf_pain/max,test/rwd_metrics/grf_pain/mean,test/rwd_metrics/grf_pain/min,test/rwd_metrics/grf_pain/size,test/rwd_metrics/grf_pain/std,test/rwd_metrics/hip_imitation_nonparetic/max,test/rwd_metrics/hip_imitation_nonparetic/mean,test/rwd_metrics/hip_imitation_nonparetic/min,test/rwd_metrics/hip_imitation_nonparetic/size,test/rwd_metrics/hip_imitation_nonparetic/std,test/rwd_metrics/hip_imitation_paretic/max,test/rwd_metrics/hip_imitation_paretic/mean,test/rwd_metrics/hip_imitation_paretic/min,test/rwd_metrics/hip_imitation_paretic/size,test/rwd_metrics/hip_imitation_paretic/std,test/rwd_metrics/joint_angle_rew/max,test/rwd_metrics/joint_angle_rew/mean,test/rwd_metrics/joint_angle_rew/min,test/rwd_metrics/joint_angle_rew/size,test/rwd_metrics/joint_angle_rew/std,test/rwd_metrics/joint_limit_pain/max,test/rwd_metrics/joint_limit_pain/mean,test/rwd_metrics/joint_limit_pain/min,test/rwd_metrics/joint_limit_pain/size,test/rwd_metrics/joint_limit_pain/std,test/rwd_metrics/knee_imitation_nonparetic/max,test/rwd_metrics/knee_imitation_nonparetic/mean,test/rwd_metrics/knee_imitation_nonparetic/min,test/rwd_metrics/knee_imitation_nonparetic/size,test/rwd_metrics/knee_imitation_nonparetic/std,test/rwd_metrics/knee_imitation_paretic/max,test/rwd_metrics/knee_imitation_paretic/mean,test/rwd_metrics/knee_imitation_paretic/min,test/rwd_metrics/knee_imitation_paretic/size,test/rwd_metrics/knee_imitation_paretic/std,test/rwd_metrics/pelvis_imitation/max,test/rwd_metrics/pelvis_imitation/mean,test/rwd_metrics/pelvis_imitation/min,test/rwd_metrics/pelvis_imitation/size,test/rwd_metrics/pelvis_imitation/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/vel_reward/max,test/rwd_metrics/vel_reward/mean,test/rwd_metrics/vel_reward/min,test/rwd_metrics/vel_reward/size,test/rwd_metrics/vel_reward/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
,,,,,,,,,,,,,0.07802043,-0.00018894147,-0.12546228,244,0.03294228,0.0058898800444004,0.0057869385121114,0.0057238883310506,10,4.9341984925616814e-05,25,24.4,24,10,0.4898979485566356,257.2295570373535,243.9634207725525,233.31881713867188,10,7.491591167757838,0.0,0.0,0.0,10,0.0,-4.305687204831086e-06,-6.258605505033224e-06,-1.2216376089204976e-05,10,2.244570117457467e-06,0.0,0.0,0.0,10,0.0,9.608486863873711,7.895379509801387,7.111230554865204,10,0.8532885846177359,11.377502156459489,9.387102339333342,7.584671489650505,10,1.2748739945254803,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-0.0114505469765827,-0.0118163172901788,-0.0123970436195426,10,0.000298884420727,0.0,-0.0095825994246527,-0.0335594373139731,10,0.0128593658932913,27.94329758458588,14.483379490760871,3.355569603165771,10,8.889822233085056,26.822010227628503,8.104565943662553,2.11584851705511,10,9.005275704403187,0.0,0.0,0.0,10,0.0,-0.3228305522265912,-0.4373133267841887,-0.5419913925311439,10,0.0602765780654924,11.019338696951811,7.872370825902704,1.984597713322914,10,3.7669232630022553,10.508511484494742,4.359677243670707,1.4025391785212782,10,3.8677201113988,74.27630328619529,70.30784697994189,66.71753458642299,10,2.242752203207607,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,125.0,122.0,120.0,10,2.449489742783178,0.0416666666666666,0.0409999999999999,0.04,10,0.0008164965809277,1.0,-0.03141269,-1.0,1000,0.991054,111,28.20477279222635,12,6998,9.37517503381418,860.9679546356201,232.7353316207176,98.75152778625488,6998,75.29797554941128,6998.0,118.85227179527284,200000.0,1.0,118.85227179527284,200000.0,1682.761271442139,1000.0
0.2110954,0.014126276,14.484914,-0.0035258697,0.0027613533,0.0046846624,4.578455,168.93518,168.96596,4.228929,97.73298,114.419075,102.29516,0.9699353,-0.06044578,-0.99769324,381,0.3784251,0.0608377447663744,0.0572428142852268,0.0521653763117722,10,0.0027807497738912,40,38.1,35,10,1.445683229480096,375.378701210022,359.24106640815734,340.9575753211975,10,10.868723421657885,0.0,0.0,0.0,10,0.0,-0.0022000470729237,-0.0031409380146789,-0.0068938394066479,10,0.001326077969771,-16.1650125,-17.773618749999997,-18.55325,10,0.6866409314838884,10.361759542464291,9.407649276395713,8.16978361966207,10,0.8082926196976332,11.034055163107462,9.857718406784189,8.992002764497908,10,0.7148145014063593,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-1.17896806125707,-1.263977533198767,-1.351239676688554,10,0.0522173539902526,-0.0370442589374152,-0.1242477549180408,-0.2362113040163173,10,0.0552153448107496,60.777959936287374,47.54186221435485,26.41317471812096,10,13.334868212470443,48.9278309278848,35.92626861685917,28.083281913186987,10,8.042106797777235,0.0,0.0,0.0,10,0.0,-0.8573344527598544,-1.0237705139460629,-1.2474427326225417,10,0.124405080064064,14.06087644582439,4.411246753797895,0.5258922027342835,10,5.805755094168474,15.824581725173724,9.991434050278906,0.4974984150550419,10,6.267079978375874,108.02024687290684,91.35166473677462,77.86135310546103,10,9.200174534224969,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,179.0006866197079,169.67800027388745,158.88553737353743,10,6.675956847982562,0.0285714285714285,0.0262860677334361,0.025,10,0.0010377384343205,3.868876,-0.022241153,-4.126751,1000,0.71911836,92,37.68677670271296,19,5271,4.506027252945065,707.4212369918823,286.47091522521663,131.89927577972412,5271,51.36602552832555,12269.0,153.3001208305359,200000.0,2.0,272.1523985862732,400000.0,1304.6304133125116,2000.0
0.004081017,0.00027619838,23.581776,-0.004969045,5.0282964e-05,0.006855587,9.431219,170.11984,170.12979,7.9187045,153.74895,130.22937,147.8375,0.9999122,-0.076631054,-0.9999997,375,0.49819317,0.1094197908476008,0.1027057654055241,0.0918906896139054,10,0.0061476668126009,40,37.5,34,10,2.3769728648009427,330.80542516708374,307.86230545043946,291.1887936592102,10,13.013739481057486,0.0,0.0,0.0,10,0.0,-0.0107352645280576,-0.012929765289482,-0.0160633740862338,10,0.001800797397697,-18.1585,-20.80924625,-23.1520875,10,1.7315548001006376,11.24135158293985,9.71640380807379,7.170679911012592,10,1.502452733704929,12.244895348114156,8.8218480523422,7.088383545903168,10,1.8406723671604783,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-2.3210146683845507,-2.704576450829051,-3.1118843182651554,10,0.2533813461450933,0.0,-0.1261768403728206,-0.2702004937976509,10,0.0942796565794017,66.75450869563271,49.25247608427914,25.27552164734832,10,15.337816911374771,46.54270867911365,30.918030226564905,23.531608437533382,10,9.554407129061708,0.0,0.0,0.0,10,0.0,-1.249373069237119,-1.4595573239361712,-1.658852923300919,10,0.1206713938159324,4.971992037993402,1.860852424207857,0.4640120004405699,10,1.882366765060299,5.3664802037722295,3.374289305562068,0.420267380813835,10,1.9504024924639485,86.76335397062356,80.45853231186354,72.54476465992227,10,4.685775688758772,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,161.8697742417784,145.8677830544528,134.22237273483415,10,8.791014823281486,0.0294117647058823,0.0267764801510931,0.025,10,0.0017341453077619,4.353404,-0.057701416,-4.27197,1000,0.79626566,78,40.61091872071705,24,4909,5.039523050468246,743.5500936508179,371.06875087656834,181.99935960769653,4909,52.60594050946572,17178.0,151.13421201705933,200000.0,3.0,423.2866163253784,600000.0,1323.327109929451,3000.0
0.00021604064,1.4989891e-05,32.042686,-0.005468276,2.29336e-06,0.008031691,10.832905,170.96574,170.96808,8.877398,185.0312,170.45592,177.53992,0.99998647,-0.07748915,-1.0,417,0.5952179,0.1675035116830166,0.1458528783294502,0.1245722496378037,10,0.0162259808213685,46,41.7,37,10,3.034798181098704,374.95086765289307,333.4521161079407,269.61789655685425,10,29.09539528809245,0.0,0.0,0.0,10,0.0,-0.0231043861760313,-0.0304058595519525,-0.0359983195601309,10,0.003774829291312,-23.9810625,-27.1943275,-30.9484,10,2.479171427096412,10.97405351849815,8.564246048296281,6.671034045946439,10,1.7898815417176923,13.469955161808608,10.185335926767868,7.069044856523518,10,2.9909953716526188,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-3.528449542421227,-4.62938092233251,-6.047875053440972,10,0.9318413939314464,-0.0806655139867409,-0.2889314681383226,-0.5182312979519097,10,0.121548781281364,101.4839061345743,54.27376432306886,24.815714817155307,10,29.81577277210496,72.01500828563421,42.40490775254818,31.88734524057771,10,12.850298064232843,0.0,0.0,0.0,10,0.0,-1.411554865463902,-1.7757105081695823,-2.155749180554104,10,0.26435017535618,4.916123155896637,2.5569379132461494,0.5791240039101989,10,1.90521482589882,4.015866774373204,2.160644368050692,0.4263292151617294,10,1.588478935124173,108.97392379733012,78.528968111036,57.10824515015044,10,13.799911114530572,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,176.6663347205756,164.06668771730648,136.0328158217012,10,11.93829863753195,0.027027027027027,0.024109124754799,0.0217391304347826,10,0.0017664220809822,4.2589645,-0.09610852,-4.487086,1000,0.8515742,133,48.38815789473684,24,4104,12.471064603999752,930.0389699935912,467.0048423454921,164.45809412002563,4104,132.22356950342808,21282.0,153.59461188316345,200000.0,4.0,576.8812334537506,800000.0,1302.1290105680025,4000.0
1.3595414e-05,9.464015e-07,39.791664,-0.005540095,1.4123182e-07,0.0087234285,11.247419,171.40062,171.39957,11.0980625,226.84077,269.25482,214.83763,0.99999994,-0.1047858,-1.0,675,0.6458927,0.1830360594065871,0.17181679727374,0.1629700364378452,10,0.0056575372001787,85,67.5,52,10,11.236102527122116,723.4580807685852,575.4893554210663,499.5590867996216,10,79.81601327116115,0.0,0.0,0.0,10,0.0,-0.0512598650925544,-0.0673321677018157,-0.0941940255513217,10,0.0144386449433663,-35.29064999999999,-47.10157,-61.18625,10,9.230185266418683,19.15868391234036,12.197518966641658,7.0186388909410296,10,4.657692795539283,15.655569902398756,13.283769616751778,10.76072078820125,10,1.221699774818746,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-6.958245107657555,-8.783007141754728,-10.337046365676375,10,1.231937684540496,-0.4088688633038591,-0.7195012742096129,-0.987632949088579,10,0.2376387460626476,144.7556195290737,82.84210474114329,47.468603071495245,10,33.22989433740631,134.52604111663726,96.8321529399303,64.15006980030662,10,24.39344365483501,0.0,0.0,0.0,10,0.0,-2.122407350481427,-2.599740574718996,-3.345559038161339,10,0.3759713072016268,5.104280684157412,3.308679617671095,1.177457362712225,10,1.6228849253646218,5.056425693744983,3.0508733696919377,0.9613160612689352,10,1.843421592322298,177.57236624060198,125.92621207418316,98.93808817743374,10,24.39793002538235,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,367.5247936395447,288.53618726736124,227.28152710788143,10,44.25467131552344,0.0192307692307692,0.0152301099930586,0.0117647058823529,10,0.0025167501281412,4.3165607,-0.13392513,-4.630245,1000,0.9178785,127,59.87037593984962,24,3325,14.042311272497374,982.0389614105223,594.2876384679497,162.6693549156189,3325,149.1880842023023,24607.0,150.51976776123047,200000.0,5.0,727.4010071754456,1000000.0,1328.7291295669552,5000.0
1.6612466e-06,1.175444e-07,46.947178,-0.0051331837,1.5355338e-08,0.008888958,11.482365,171.77612,171.7711,11.310334,257.07797,247.69308,244.62975,1.0,-0.1480999,-1.0,679,0.69703966,0.2068789359443555,0.1837179486710802,0.1704132871060166,10,0.0110643127071134,112,67.9,50,10,17.323105957073633,1020.8679900169373,561.5504095077515,390.19779109954834,10,173.10706432736367,0.0,0.0,0.0,10,0.0,-0.0761938040782618,-0.118530178245227,-0.2182110315421227,10,0.0375309926703972,-36.356475,-51.89383499999999,-87.12132499999998,10,13.87249397690872,29.5455501015271,14.551445595074492,8.31877579747541,10,5.802433512883145,23.938088601259548,14.055241549671432,9.730017196898,10,4.079583874799887,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-7.35476059953829,-9.470737160123369,-13.99537256241214,10,2.160578376478353,-0.3266416601797432,-0.7237979685279412,-1.0335332569315951,10,0.2356603662853585,160.78623265828455,94.96954387645532,38.366277434475,10,36.47006681889221,145.6742097854976,84.7856346290827,55.66179203640021,10,27.25788563273181,0.0,0.0,0.0,10,0.0,-1.582346638309556,-2.117944747176882,-3.380560202541484,10,0.5210648073354974,5.621902557136897,2.915661858379551,1.0211456170430269,10,1.6074673582418624,6.07200040553109,4.087401587711252,1.0096164003548156,10,1.969861794065973,238.631342648884,109.38520385086048,54.56321632009066,10,54.46489654968772,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,504.2580664005595,291.65438457621684,208.84849684895823,10,81.23177882094313,0.02,0.0155189619954021,0.0089285714285714,10,0.0032199125729883,4.494624,-0.16779667,-4.4695296,1000,0.96467286,134,69.13155154460257,25,2881,13.444825246770897,1127.3915247917175,701.7643096679499,261.96216011047363,2881,122.21957818984288,27488.0,185.6381585597992,200000.0,6.0,913.0391721725464,1200000.0,1077.3647053581092,6000.0
6.176471e-07,4.390689e-08,53.35722,-0.0047595175,5.5048854e-09,0.009028095,11.619755,172.08128,172.0743,10.121023,282.152,213.6408,273.72177,1.0,-0.17431651,-1.0,789,0.7178555,0.2043952906787949,0.1887475718134199,0.1738044289501936,10,0.0086284747216673,93,78.9,57,10,12.185647295076286,918.7109956741332,722.4756088495254,445.5761036872864,10,135.74488322098222,0.0,0.0,0.0,10,0.0,-0.1012501075367238,-0.1727530341728798,-0.2257478216588153,10,0.037492352560111,-46.97525,-63.58830374999999,-78.71315000000001,10,11.404262083902903,27.472695798570047,18.61103865833459,11.382912832384092,10,5.240902516952179,20.382742098908405,15.108869897830685,10.855683586971086,10,2.62138487373002,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-9.001782253830168,-11.176576868031002,-13.519358218956018,10,1.3225306434695088,-0.5340025109042705,-0.7529718925686872,-1.0374581866884045,10,0.1732681098829862,181.88454006568875,140.94826095267936,72.70797066526896,10,36.04255928166434,185.3729650937324,128.22303600032555,64.86315603417766,10,38.88538722357464,0.0,0.0,0.0,10,0.0,-1.563528210054289,-2.29765318838942,-2.991730241222295,10,0.3807773050118827,13.494156435485063,5.490447786036862,1.1802727620809057,10,3.313497019746965,6.674948924453275,3.777541449434982,1.1293521948294667,10,1.9663433589154724,178.4009823404884,130.07443613638833,58.80265771809705,10,42.3998689472986,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,429.3508448908602,347.053661758905,245.1027507554176,10,55.134478986181065,0.0175438596491228,0.0130120559913369,0.010752688172043,10,0.0022068392466638,4.491419,-0.18542707,-4.833139,1000,0.9928673,186,74.21518518518519,22,2700,14.3952406925114,1235.5270342826843,744.798579279631,171.8380217552185,2700,116.0274947083994,30188.0,149.75934624671936,200000.0,7.0,1062.798523426056,1400000.0,1335.4759152761808,7000.0
3.7300774e-07,2.6618109e-08,59.434383,-0.0045443936,3.2225085e-09,0.009299145,11.713693,172.1949,172.18637,9.293321,303.50998,198.20206,298.11673,1.0,-0.1999649,-1.0,808,0.72808105,0.201174148034884,0.1875571549674934,0.1674375600141373,10,0.0110175309415275,97,80.8,67,10,8.072174428244226,927.908314228058,794.0528955936431,616.7336850166321,10,106.7596758788382,0.0,0.0,0.0,10,0.0,-0.1553958486337,-0.1908886302493437,-0.2264953519804284,10,0.0229988896510089,-51.672775,-63.84094375,-76.7591375,10,6.376252758589018,25.87119826601962,18.606561506187298,12.66761013071374,10,3.6975800700918025,22.269929956857577,15.589416871526092,10.206027446582976,10,3.10212581228316,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-10.351608777771244,-11.42951413423962,-13.684755853945052,10,0.9170960325890148,-0.6143507621031418,-0.7838531983618735,-1.0850222970642875,10,0.1366561707044977,181.82988985374715,157.52493609774424,124.88934451583268,10,17.193178740051835,157.8568011283277,123.95426129207416,84.90490484350387,10,24.22877311288452,0.0,0.0,0.0,10,0.0,-1.784145423945655,-2.437221674548013,-2.9203830035549427,10,0.3525668858368257,5.595383908086713,3.34229372210127,1.2010940062386033,10,1.7650256391704562,6.122021512659328,3.531586506014686,1.1332473746985858,10,1.9087213709739048,235.779569715256,165.21791170109654,107.39640654597628,10,43.41432827433561,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,452.5775297234863,373.5388360519098,308.1972254433921,10,39.1117716529828,0.0149253731343283,0.0125001790471842,0.0103092783505154,10,0.0012504504421691,4.6574335,-0.2175011,-4.8860154,1000,1.0083333,158,77.42412451361868,39,2570,13.851683855557122,1344.246523618698,801.5130343327045,380.1887197494507,2570,105.62582553948268,32758.0,148.23278331756592,200000.0,8.0,1211.0313115119934,1600000.0,1349.229202365652,8000.0
2.680387e-07,1.9211702e-08,65.06114,-0.0041767596,2.2313937e-09,0.009381652,11.78213,172.2552,172.24582,8.3021755,319.66336,161.208,316.90378,1.0,-0.21679762,-1.0,903,0.74835783,0.2076501076083168,0.1947681952319034,0.1831793978656149,10,0.0065187666986877,123,90.3,63,10,16.266837430797665,1187.3983228206637,906.6325847387312,662.8026170730591,10,151.4245031766703,0.0,0.0,0.0,10,0.0,-0.1875259400397839,-0.2254289006706823,-0.2918460148446623,10,0.030023238549639,-52.4820125,-71.85831625,-97.02955,10,12.08765511663404,34.5080848221519,24.31963857448646,14.221961080263638,10,6.399347342623958,28.25615948796385,18.453834621104427,10.799458945047574,10,4.777678557209685,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-10.046706124444128,-13.414215937973378,-19.178310608808623,10,2.507177039798072,-0.4290302313619394,-0.8037624189497599,-1.2756253683459486,10,0.2486188326845384,219.7857107667252,178.70824041919963,148.96441877167166,10,18.5715555377312,201.93904614529671,146.3578612053553,96.76828333428824,10,35.2455839025383,0.0,0.0,0.0,10,0.0,-1.631430897571478,-2.4537005515541748,-3.444053791516006,10,0.4973849506809831,12.081455707867065,5.155790540005785,1.3844137769455878,10,3.568842103462955,7.353042821647796,5.850063254926593,3.2137137101357456,10,1.2616194233193772,301.00245461170675,203.55149129544515,116.27871419680471,10,59.76704888458684,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,486.5494116634507,399.5768723868273,289.30894238008307,10,55.93303613760418,0.0158730158730158,0.0114372592914508,0.008130081300813,10,0.002069930012746,4.5902176,-0.24240538,-4.63573,1000,1.0217594,214,80.98374644453475,42,2461,14.793380547675872,1657.7030272483826,853.053083284592,441.9581971168518,2461,114.29171879144464,35219.0,146.37473511695862,200000.0,9.0,1357.4060525894165,1800000.0,1366.3560165638755,9000.0
2.0983781e-07,1.5084712e-08,70.19653,-0.0037569643,1.7023173e-09,0.009372688,11.841201,172.34343,172.33395,7.537919,333.57632,129.88216,332.435,1.0,-0.23183465,-1.0,869,0.7655898,0.2123995641556864,0.1991584760561361,0.1904406798440174,10,0.0066369763112358,112,86.9,73,10,11.42322196230118,1178.0765624046326,882.0946446657181,711.5427498817444,10,129.433534450048,0.0,0.0,0.0,10,0.0,-0.1521311185534956,-0.2027555372640154,-0.2639044259203238,10,0.0351394960382052,-55.2847375,-66.45418874999999,-78.5355125,10,6.197068655868296,38.7328046965506,25.761563163844706,15.09061284080708,10,8.934495411006528,27.56517138957888,16.309109404898784,10.650633329820446,10,4.8364952573613,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-10.675016795557784,-13.496319983212445,-17.270403457775892,10,1.985174597890115,-0.6220728516489342,-0.9197682403986056,-1.3447000649386762,10,0.1929323975811787,214.89335247838304,172.94287951097357,135.8016180160707,10,22.09956548152245,223.9654190699519,155.2183503592319,111.63771614232532,10,30.350632662545536,0.0,0.0,0.0,10,0.0,-1.920878582172671,-2.434758570436582,-2.977662877630924,10,0.3142172368588253,10.940350544110624,7.60786447802132,3.0460475483971763,10,1.910000716883268,6.591862805847751,4.66022437463591,1.371866270634896,10,1.955640864752617,271.66734661323983,189.03716241243689,112.19882619811418,10,50.82383691036114,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,465.9742648872447,380.5689626775536,312.4390577321477,10,46.07815953150385,0.0136986301369863,0.0116948215733063,0.0089285714285714,10,0.0014386235973549,4.435362,-0.25089353,-4.611185,1000,1.0344244,203,86.02378892733564,45,2312,16.521712824055786,1722.3776638507843,890.8193573086409,434.9531335830689,2312,126.3841513482437,37531.0,148.25359439849854,200000.0,10.0,1505.6596541404724,2000000.0,1349.039804474552,10000.0
